size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,size_100kilo_bytes,price_mms,rating_count_mms,user_rating_mms,size_bytes_mms
100788224,3.99,21292,26,4.0,4.5,6.3.5,4+,Games,984.26,0.01596063842553702,0.007124376717891894,0.75,0.024848711848844608
158578688,0.0,161065,26,4.0,3.5,8.2.2,4+,Productivity,1548.62,0.0,0.054113594677022876,0.75,0.03920586865137269
100524032,0.0,188583,2822,3.5,4.5,5.0.0,4+,Weather,981.68,0.0,0.06336466104749047,0.625,0.024783077387595543
128512000,0.0,262241,649,4.0,4.5,5.10.0,12+,Shopping,1255.0,0.0,0.08812718182356073,0.75,0.03173625992581047
92774400,0.0,985920,5320,4.5,5.0,7.5.1,4+,Reference,906.0,0.0,0.33141530086977106,0.875,0.022857799857622964
10485713,0.99,8253,5516,4.0,4.0,1.8,4+,Games,102.399541015625,0.003960158406336254,0.0027408948367767375,0.75,0.002414434282064442
227795968,0.0,119487,879,4.0,4.5,6.12.0,4+,Finance,2224.57,0.0,0.04013580422890523,0.75,0.056401843101491156
130242560,0.0,1126879,3594,4.0,4.5,8.4.1,12+,Music,1271.9,0.0,0.3788032311159641,0.75,0.032166191086705515
49250304,9.99,1117,4,4.5,5.0,3.6.6,4+,Utilities,480.96,0.03996159846393856,0.00034189746706757534,0.875,0.012044903962544406
70023168,3.99,7885,40,4.0,4.0,4.0.4,4+,Games,683.82,0.01596063842553702,0.002617179725782767,0.75,0.017205604276104625
49618944,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,484.56,0.01996079843193728,0.025758292946625,0.875,0.012136486931729149
227547136,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,2222.14,0.031961278451138046,0.03552640779727934,0.625,0.056340024597291455
179979264,0.0,479440,203,3.5,4.0,27.0,17+,Utilities,1757.61,0.0,0.1611456557169829,0.625,0.0445225144096836
160925696,0.0,119773,2336,3.5,4.5,7.3.8,4+,Finance,1571.54,0.0,0.040231952385819024,0.625,0.03978894688851555
55153664,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,538.61,0.01996079843193728,0.002097777969028191,0.875,0.013511503455183402
207907840,0.0,56194,87,4.0,3.5,21.1,4+,Travel,2030.35,0.0,0.018857813685042843,0.75,0.051460941913974316
389879808,0.0,2974676,212,3.5,3.5,95.0,4+,Social Networking,3807.42,0.0,1.0,0.625,0.09666909387206592
167407616,0.0,223885,3726,4.0,4.5,11.15.0,12+,Travel,1634.84,0.0,0.07523257096137399,0.75,0.04139928076334727
147093504,0.0,402925,136,4.0,4.5,11.0.3,12+,Music,1436.46,0.0,0.13542266191887517,0.75,0.036352550366994724
10735026,2.99,31456,4178,4.0,3.5,1.0.0,4+,Games,104.83423828125,0.011960478419136767,0.010541334294366659,0.75,0.0024763722833566395
70707916,1.99,2929,966,4.5,4.5,3.3,4+,Reference,690.5069921875,0.007960318412736509,0.0009510599157661462,0.875,0.01737571944261752
6169600,2.99,11447,781,5.0,5.0,5.2.6,4+,Games,60.25,0.011960478419136767,0.0038146613164363593,1.0,0.0013421620276241612
130583552,0.0,137951,131,4.0,4.5,6.9,4+,Sports,1275.23,0.0,0.046343075450080956,0.75,0.0322509053332014
11423008,3.99,3241,297,4.0,4.0,2.1.3,4+,Music,111.5528125,0.01596063842553702,0.0010559488142175557,0.75,0.002647290887701413
188017664,0.0,5795,12,3.5,4.0,8.4.1,4+,Health & Fitness,1836.11,0.0,0.0019145585791050558,0.625,0.04651953193218423
4765696,0.0,42316,248,3.0,3.5,2.0.6,9+,Games,46.54,0.0,0.014192274798156107,0.5,0.0009933835533122682
287933440,0.0,123215,25,3.5,5.0,10.5.4,4+,Productivity,2811.85,0.0,0.04138909209245284,0.625,0.07134207814116209
4263936,4.99,782,7,4.0,3.5,1.9.8,4+,Music,41.64,0.01996079843193728,0.00022927637417904267,0.75,0.000868728956366369
172772352,9.99,3449,23,4.0,4.5,3.4.1,4+,Weather,1687.23,0.03996159846393856,0.0011258747465184955,0.75,0.042732067362121894
273844224,0.0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,2674.26,0.0,0.02412310191435687,0.625,0.06784182793834857
40216576,1.99,13350,489,4.5,5.0,9.6,12+,Health & Fitness,392.74,0.007960318412736509,0.004454416360516591,0.875,0.009800612423244974
2386944,0.99,137,0,3.0,0.0,5.0,4+,Entertainment,23.31,0.003960158406336254,1.2438747572763308e-05,0.5,0.00040241900493405674
105431040,0.0,180087,1101,3.5,4.5,5.5.3,12+,Games,1029.6,0.0,0.06050845565889055,0.625,0.02600214846629911
44129280,0.99,33426,299,4.0,5.0,7.2,4+,Health & Fitness,430.95,0.003960158406336254,0.011203613557024598,0.75,0.010772663882286362
116443136,0.0,293228,110,4.0,3.0,8.0.0,12+,Music,1137.14,0.0,0.0985444648245666,0.75,0.02873793527355666
1646592,1.99,21609,69,3.5,2.5,2.4,9+,Entertainment,16.08,0.007960318412736509,0.007230946528177461,0.625,0.0002184898751546996
30016512,4.99,4684,10,4.0,4.0,8.0.3,4+,Utilities,293.13,0.01996079843193728,0.001541059969555325,0.75,0.007266562545330482
29518848,2.99,2104,0,4.5,0.0,5.2,17+,Weather,288.27,0.011960478419136767,0.0006737094631302075,0.875,0.00714292553693108
66872320,2.99,41633,6,4.0,3.0,1.7.177604,9+,Games,653.05,0.011960478419136767,0.013962662241610233,0.75,0.016422824286711706
45229056,2.99,3610,7,4.5,5.0,3.8.2,4+,Photo & Video,441.69,0.011960478419136767,0.0011800001075783575,0.875,0.011045886407020844
127470592,0.0,4677,12,3.0,4.0,6.19.0,12+,Music,1244.83,0.0,0.001538706692987505,0.5,0.03147753803786357
107983872,0.0,48905,2691,4.5,4.5,7.2,4+,Music,1054.53,0.0,0.01640738041320847,0.875,0.02663636052790345
37214208,0.0,446185,1359,3.5,3.5,7.1.6,4+,Travel,363.42,0.0,0.1499659111080033,0.625,0.009054720018662574
60320768,1.99,21825,10,3.0,4.0,4.0.8,9+,Entertainment,589.07,0.007960318412736509,0.007303561919413053,0.5,0.014795191406589539
100849664,0.0,508808,99,3.0,4.5,6.3.5,4+,Games,984.86,0.0,0.17101865946608863,0.5,0.024863975677042065
72748032,0.0,57500,103,3.0,4.0,3.5.13,4+,Sports,710.43,0.0,0.019296867856124705,0.5,0.017882555056661843
32164864,1.99,2576,4,4.0,5.0,7.0,4+,Games,314.11,0.007960318412736509,0.0008323875402746476,0.75,0.00780028773796823
69079040,1.99,1572,34,4.0,4.5,4.8.2,4+,Weather,674.6,0.007960318412736509,0.0004948604439758809,0.75,0.016971050116137035
82037760,2.99,3292,2,3.0,5.0,4.56.1,4+,Business,801.15,0.011960478419136767,0.0010730941149259593,0.5,0.02019044588011735
150195200,4.99,8932,55,4.5,5.0,7.2.3,4+,Education,1466.75,0.01996079843193728,0.002969162663855286,0.875,0.03712311929382968
199734272,0.0,495626,5893,3.5,4.5,8.11,4+,Weather,1950.53,0.0,0.16658710350651657,0.625,0.04943034396943928
13156352,0.99,812,14,3.0,4.0,8.2.0,4+,Lifestyle,128.48,0.003960158406336254,0.0002393618451839859,0.5,0.00307791369081165
30367744,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,296.56,0.011960478419136767,0.0004985584500110268,0.625,0.007353820763192611
93420544,0.0,113936,150,4.5,5.0,10.18.0,4+,Food & Drink,912.31,0.0,0.0382696559106239,0.875,0.023018324450832888
31505408,4.99,2027,2,4.0,5.0,9.30,4+,Entertainment,307.67,0.01996079843193728,0.0006478234208841865,0.75,0.007636455981982191
25997312,3.99,768,4,4.0,4.0,7.1,4+,Education,253.88,0.01596063842553702,0.00022456982104340252,0.75,0.006268053784080168
182054912,0.0,373835,402,4.0,4.5,8.0.2,4+,Health & Fitness,1777.88,0.0,0.12564311686774857,0.75,0.04503817740562102
138754048,0.0,108131,13,3.0,2.0,8.21.0,4+,Shopping,1355.02,0.0,0.036318117271167384,0.5,0.03428074008632656
13564835,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,132.469091796875,0.003960158406336254,0.00633468433820484,0.625,0.003179395043897292
133688320,0.0,126312,22,3.5,3.0,9.10.0,4+,Shopping,1305.55,0.0,0.04243024888252982,0.625,0.033022237451446224
55205888,4.99,35735,378,4.0,4.5,1.5.1,4+,Games,539.12,0.01996079843193728,0.011979858642038394,0.75,0.013524477709151241
46922752,4.99,410,7,3.0,2.5,4.8.1,4+,Utilities,458.23,0.01996079843193728,0.00010421653371774665,0.5,0.011466659270997409
63283200,12.99,1390,143,4.5,5.0,7.0.1,4+,Music,618.0,0.05196207848313933,0.00043367525321255873,0.875,0.015531162322843592
39505920,0.0,233270,14625,4.5,4.5,2.610,4+,Finance,385.8,0.0,0.07838764247408707,0.875,0.009624060810427722
36399104,0.0,109349,1540,3.5,5.0,6.3,12+,Food & Drink,355.46,0.0,0.03672758739396808,0.625,0.008852219897909644
115143680,0.0,2229,4,3.5,1.0,6.2.1,17+,News,1124.45,0.0,0.0007157322589841376,0.625,0.028415105307180444
56481792,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,551.58,0.007960318412736509,0.004999031794783526,0.625,0.013841456541385098
181941248,0.0,144214,2162,3.5,4.0,10.4.1,4+,Weather,1776.77,0.0,0.048448585613546265,0.625,0.045009939323455726
162891776,0.0,232940,683,4.0,4.5,5.9.0,4+,Finance,1590.74,0.0,0.07827670229303269,0.75,0.040277389390834174
